county_id,county_name,province_id,center_name,latitude,longitude,source_id
10000012,خنداب,100,خنداب,34.3928,49.1841,geonames-iran-2026-09-19
10000013,فراهان,100,فرمهین,34.50383,49.68437,geonames-iran-2026-09-19
10100010,لنگرود,101,لنگرود,37.19548,50.15263,geonames-iran-2026-09-19
10100011,لاهیجان,101,لاهیجان,37.20416,50.00919,geonames-iran-2026-09-19
10100012,شفت,101,شفت,37.1702,49.3998,geonames-iran-2026-09-19
10100013,املش,101,املش,37.0966,50.18709,geonames-iran-2026-09-19
10100014,رضوانشهر,101,رضوانشهر,37.54947,49.13736,geonames-iran-2026-09-19
10100015,سیاهکل,101,سیاهکل,37.15328,49.87136,geonames-iran-2026-09-19
10100016,ماسال,101,ماسال,37.3631,49.1329,geonames-iran-2026-09-19
10100017,خمام,101,خمام,37.39016,49.65846,geonames-iran-2026-09-19
10200010,قایم شهر,102,قایم شهر,36.463,52.86,geonames-iran-2026-09-19
10200014,نور,102,نور,36.57168,52.0153,geonames-iran-2026-09-19
10200015,نوشهر,102,نوشهر,36.64852,51.49621,geonames-iran-2026-09-19
10200016,بابلسر,102,بابلسر,36.69929,52.65011,geonames-iran-2026-09-19
10200018,محمودآباد,102,محمودآباد,36.63191,52.26286,geonames-iran-2026-09-19
10200019,نکا,102,نکا,36.65079,53.29905,geonames-iran-2026-09-19
10200020,چالوس,102,چالوس,36.655,51.4204,geonames-iran-2026-09-19
10200021,جویبار,102,جویبار,36.64088,52.91206,geonames-iran-2026-09-19
10200022,گلوگاه,102,گلوگاه,36.72734,53.80888,geonames-iran-2026-09-19
10200023,فریدونکنار,102,فریدونکنار,36.68489,52.51917,geonames-iran-2026-09-19
10200024,عباس آباد,102,عباس آباد,36.72769,51.10574,geonames-iran-2026-09-19
10200025,میاندورود,102,سورک,36.59488,53.20762,geonames-iran-2026-09-19
10200026,سیمرغ,102,کیاکلا,36.58028,52.81253,geonames-iran-2026-09-19
